address	id	value_type	device_class	unit_of_measurement	state_class	multiply	name	entity_category	internal
0	State	RAW_WORD					Operating mode (raw)	diagnostic	
1	Vpv1	U_WORD	voltage	V	measurement	0.1	PV1 voltage		
2	Vpv2	U_WORD	voltage	V	measurement	0.1	PV2 voltage		
3	Vpv3	U_WORD	voltage	V	measurement	0.1	PV3 voltage		TRUE
4	Vbat	U_WORD	voltage	V	measurement	0.1	Battery voltage	diagnostic	
6	InternalFault	RAW_WORD					Internal fault code (raw)	diagnostic	
7	Ppv1	U_WORD	power	W	measurement	1	PV1 power		
8	Ppv2	U_WORD	power	W	measurement	1	PV2 power		
9	Ppv3	U_WORD	power	W	measurement	1	PV3 power		TRUE
10	Pcharge	U_WORD	power	W	measurement	1	Battery charge power		
11	Pdischarge	U_WORD	power	W	measurement	1	Battery discharge power		
12	VacR	U_WORD	voltage	V	measurement	0.1	Grid L1 voltage	diagnostic	
13	VacS	U_WORD	voltage	V	measurement	0.1	Grid L2 voltage	diagnostic	TRUE
14	VacT	U_WORD	voltage	V	measurement	0.1	Grid L3 voltage	diagnostic	TRUE
15	Fac	U_WORD	frequency	Hz	measurement	0.01	Grid frequency	diagnostic	
16	Pinv	U_WORD	power	W	measurement	1	Inverter power	diagnostic	
17	Prec	U_WORD	power	W	measurement	1	Rectifier power	diagnostic	
18	IinvRMS	U_WORD	current	A	measurement	0.01	Inverter current	diagnostic	
19	PF	S_WORD			measurement	0.001	Power factor	diagnostic	TRUE
20	VepsR	U_WORD	voltage	V	measurement	0.1	EPS L1 voltage	diagnostic	
21	VepsS	U_WORD	voltage	V	measurement	0.1	EPS L2 voltage	diagnostic	TRUE
22	VepsT	U_WORD	voltage	V	measurement	0.1	EPS L3 voltage	diagnostic	TRUE
23	Feps	U_WORD	frequency	Hz	measurement	0.01	EPS frequency	diagnostic	
24	Peps	U_WORD	power	W	measurement	1	EPS power		
25	Seps	U_WORD	apparent_power	VA	measurement	1	EPS apparent power	diagnostic	
26	Ptogrid	U_WORD	power	W	measurement	1	Export to grid power		TRUE
27	Ptouser	U_WORD	power	W	measurement	1	Import from grid power		
28	Epv1_day	U_WORD	energy	kWh	total_increasing	0.1	PV1 energy today		
29	Epv2_day	U_WORD	energy	kWh	total_increasing	0.1	PV2 energy today		
30	Epv3_day	U_WORD	energy	kWh	total_increasing	0.1	PV3 energy today		TRUE
31	Einv_day	U_WORD	energy	kWh	total_increasing	0.1	Inverter energy today	diagnostic	
32	Erec_day	U_WORD	energy	kWh	total_increasing	0.1	Rectifier energy today	diagnostic	
33	Echg_day	U_WORD	energy	kWh	total_increasing	0.1	Battery charged energy today		
34	Edischg_day	U_WORD	energy	kWh	total_increasing	0.1	Battery discharged energy today		
35	Eeps_day	U_WORD	energy	kWh	total_increasing	0.1	EPS energy today		
36	Etogrid_day	U_WORD	energy	kWh	total_increasing	0.1	Export to grid energy today		TRUE
37	Etouser_day	U_WORD	energy	kWh	total_increasing	0.1	Import from grid energy today		
38	Vbus1	U_WORD	voltage	V	measurement	0.1	Bus 1 voltage	diagnostic	
39	Vbus2	U_WORD	voltage	V	measurement	0.1	Bus 2 voltage	diagnostic	
40	Epv1_all	U_DWORD_R	energy	kWh	total_increasing	0.1	PV1 energy lifetime	diagnostic	
42	Epv2_all	U_DWORD_R	energy	kWh	total_increasing	0.1	PV2 energy lifetime	diagnostic	
44	Epv3_all	U_DWORD_R	energy	kWh	total_increasing	0.1	PV3 energy lifetime	diagnostic	TRUE
46	Einv_all	U_DWORD_R	energy	kWh	total_increasing	0.1	Inverter energy lifetime	diagnostic	
48	Erec_all	U_DWORD_R	energy	kWh	total_increasing	0.1	Rectifier energy lifetime	diagnostic	
50	Echg_all	U_DWORD_R	energy	kWh	total_increasing	0.1	Battery charged energy lifetime	diagnostic	
52	Edischg_all	U_DWORD_R	energy	kWh	total_increasing	0.1	Battery discharged energy lifetime	diagnostic	
54	Eeps_all	U_DWORD_R	energy	kWh	total_increasing	0.1	EPS energy lifetime	diagnostic	
56	Etogrid_all	U_DWORD_R	energy	kWh	total_increasing	0.1	Export to grid energy lifetime	diagnostic	TRUE
58	Etouser_all	U_DWORD_R	energy	kWh	total_increasing	0.1	Import from grid energy lifetime	diagnostic	
60	FaultCode	RAW_DWORD					Fault code (raw)	diagnostic	
62	WarningCode	RAW_DWORD					Warning code (raw)	diagnostic	
64	Tinner	S_WORD	temperature	°C	measurement	1	Internal temperature	diagnostic	
65	Tradiator1	S_WORD	temperature	°C	measurement	1	Radiator temperature 1	diagnostic	
